CV-001;Consolas y Videojuegos;PlayStation 3;400
CV-002;Consolas y Videojuegos;Call of Duty: Black Ops Wii;30
CV-003;Consolas y Videojuegos;Final Fantasy XV PS7;35
CV-004;Consolas y Videojuegos;The Last Guardian PS4;40
CV-005;Consolas y Videojuegos;Resident Evil 7 PS7;30
CV-006;Consolas y Videojuegos;Fifa 17 Xbox;35
FV-001;Fotografía y Vídeo;Cámara compacta Canon Ixus;200
FV-002;Fotografía y Vídeo;Cámara USB;50
FV-003;Fotografía y Vídeo;Videocámara Canon XA30;1500
TM-001;Telefonía Móvil;Funda silicona para iPhone 7;25
TM-002;Telefonía Móvil;Auricular stéreo;10
TM-003;Telefonía Móvil;Protector pantalla iPhone 7;40
OT-001;Ordenadores y tablets;Tablet Glee 7";70
OT-002;Ordenadores y tablets;Ratón mini óptico;8
VI-001;Videovigilancia;Mini Camara 8 horas grabación;210
VI-002;Videovigilancia;USB Grabador espía;30
